timestamp,room_id,availability,noise,light,temperature,door_activity,comfort_score,emoticon
2025-12-01T09:00:00,1,0,76,96,17.4,8,38,🥶
2025-12-01T09:00:00,2,0,45,53,23.7,10,61,🚶
2025-12-01T09:00:00,3,1,61,86,28.7,0,58,🔥
2025-12-01T09:00:00,4,0,53,47,26.2,8,54,🚶
2025-12-01T09:00:00,5,1,14,63,23.8,9,75,🚶
2025-12-01T09:01:00,1,1,57,56,25.0,6,60,🚶
2025-12-01T09:01:00,2,1,69,98,25.1,9,49,🚶
2025-12-01T09:01:00,3,0,76,89,27.4,0,56,😐
2025-12-01T09:01:00,4,1,30,66,27.4,7,62,🚶
2025-12-01T09:01:00,5,1,73,96,29.3,6,41,🔥
2025-12-01T09:02:00,1,0,43,83,19.0,1,69,❄️
2025-12-01T09:02:00,2,1,46,49,25.8,4,65,😐
2025-12-01T09:02:00,3,0,13,45,17.9,10,61,🥶
2025-12-01T09:02:00,4,0,10,79,22.8,0,95,😎
2025-12-01T09:02:00,5,2,48,93,22.4,15,52,⛔
2025-12-01T09:03:00,1,1,62,97,18.4,10,43,❄️
2025-12-01T09:03:00,2,0,39,75,26.8,0,73,🙂
2025-12-01T09:03:00,3,2,59,87,22.4,0,74,⛔
2025-12-01T09:03:00,4,1,27,40,19.0,0,77,❄️
2025-12-01T09:03:00,5,1,85,77,17.9,2,47,🥶
2025-12-01T09:04:00,1,0,11,49,26.2,2,82,🙂
2025-12-01T09:04:00,2,1,62,87,29.4,12,34,🔥
2025-12-01T09:04:00,3,1,32,91,24.2,12,62,🌀
2025-12-01T09:04:00,4,0,75,46,21.6,3,60,😐
2025-12-01T09:04:00,5,0,12,88,23.9,8,78,🚶
2025-12-01T09:05:00,1,1,47,91,25.4,5,65,😐
2025-12-01T09:05:00,2,1,57,44,24.1,0,73,🙂
2025-12-01T09:05:00,3,1,37,65,20.1,4,69,😐
2025-12-01T09:05:00,4,1,62,42,28.9,1,55,🔥
2025-12-01T09:05:00,5,2,34,79,24.6,9,65,⛔
2025-12-01T09:06:00,1,1,49,88,28.8,1,61,🔥
2025-12-01T09:06:00,2,1,42,100,27.6,2,65,😐
2025-12-01T09:06:00,3,0,56,62,29.7,15,30,🔥
2025-12-01T09:06:00,4,1,16,72,31.6,3,62,🥵
2025-12-01T09:06:00,5,0,7,49,18.5,0,83,❄️
2025-12-01T09:07:00,1,1,30,75,21.3,8,68,🚶
2025-12-01T09:07:00,2,1,76,96,18.0,1,52,❄️
2025-12-01T09:07:00,3,0,82,67,21.9,1,62,😐
2025-12-01T09:07:00,4,1,66,95,31.2,13,25,🥵
2025-12-01T09:07:00,5,1,73,82,22.5,15,42,🌀
2025-12-01T09:08:00,1,1,57,86,26.0,7,55,🚶
2025-12-01T09:08:00,2,1,23,49,30.4,14,43,🥵
2025-12-01T09:08:00,3,0,51,81,26.3,6,58,🚶
2025-12-01T09:08:00,4,1,7,84,29.4,12,56,🔥
2025-12-01T09:08:00,5,0,48,63,27.0,9,52,🚶
2025-12-01T09:09:00,1,2,71,79,29.1,3,47,⛔
2025-12-01T09:09:00,2,2,66,52,24.0,5,61,⛔
2025-12-01T09:09:00,3,0,65,92,18.2,9,43,❄️
2025-12-01T09:09:00,4,1,67,69,22.6,9,55,🚶
2025-12-01T09:09:00,5,1,14,50,30.9,7,58,🥵
2025-12-01T09:10:00,1,2,18,44,17.5,1,74,⛔
2025-12-01T09:10:00,2,1,54,64,31.3,15,26,🥵
2025-12-01T09:10:00,3,0,14,94,25.6,11,66,🌀
2025-12-01T09:10:00,4,1,58,100,30.2,9,39,🥵
2025-12-01T09:10:00,5,1,36,72,18.9,1,71,❄️
2025-12-01T09:11:00,1,0,75,55,24.7,9,48,🚶
2025-12-01T09:11:00,2,1,67,45,25.4,13,42,🌀
2025-12-01T09:11:00,3,0,79,48,31.7,0,42,🥵
2025-12-01T09:11:00,4,0,60,98,22.3,2,70,🙂
2025-12-01T09:11:00,5,1,53,45,24.5,8,59,🚶
2025-12-01T09:12:00,1,1,59,45,25.5,0,68,😐
2025-12-01T09:12:00,2,1,40,63,27.1,2,68,😐
2025-12-01T09:12:00,3,1,39,84,27.9,12,48,🌀
2025-12-01T09:12:00,4,1,47,49,28.0,8,51,🚶
